CLASS9:all+0.17404171364148815 also+0.18897970687711388 base+0.6499436302142052 between+0.38444193912063135 both+0.2657835400225479 data+0.2950958286358512 differ+0.31144306651634723 effect+0.2836809470124014 find+0.1414881623449831 first+0.6516347237880497 has+0.1843291995490417 have+0.2370349492671928 high+0.2597237880496054 it+0.24816798196166853 larg+0.20673618940248026 method+0.5666572717023676 more+0.22308342728297634 observ+0.1362739571589628 one+0.3697857948139797 paper+0.29016347237880497 perform+0.3237034949267193 present+0.32285794813979707 propos+0.49253100338218714 provid+0.2476042841037204 studi+0.495913190529876 system+0.6686865839909808 than+0.13613303269447577 time+0.3551296505073281 two+0.572435174746336 where+0.22632468996617813 
CLASS7:all+0.196529284164859 also+0.5379609544468547 base+0.25440347071583513 between+0.5214750542299349 both+0.4814750542299349 data+0.47071583514099785 differ+0.5189587852494577 effect+0.3036876355748373 find+0.4745336225596529 first+0.2786117136659436 has+0.502819956616052 have+0.5291106290672452 high+0.2785249457700651 it+0.2358351409978308 larg+0.21492407809110628 method+0.35956616052060736 more+0.2793058568329718 observ+0.4445119305856833 one+0.23531453362255966 paper+0.2766160520607375 perform+0.22351409978308026 present+0.26767895878524944 propos+0.2215184381778742 provid+0.2879826464208243 studi+0.6093709327548807 system+0.17136659436008678 than+0.22203904555314533 time+0.47071583514099785 two+0.40303687635574836 where+0.20078091106290671 
CLASS8:all+0.20295580918934739 also+0.2816798361135499 base+0.3829382499268364 between+0.28914252268071405 both+0.2228563067017852 data+0.2569505414105941 differ+0.1984196663740123 effect+0.273339186420837 find+0.5627743634767339 first+0.199297629499561 has+0.23353819139596138 have+0.50804799531753 high+0.6761779338601112 it+0.24451273046532046 larg+0.23031899326894936 method+0.14588820602868013 more+0.4310798946444249 observ+0.6564237635352649 one+0.38571846649107405 paper+0.10769681006731051 perform+0.11911033069944396 present+0.5124378109452736 propos+0.0958443078724027 provid+0.210564822944103 studi+0.3324553702077846 system+0.3107989464442493 than+0.6227685103892303 time+0.32689493707930933 two+0.3724026924202517 where+0.18437225636523266 
CLASS3:all+0.46144161158325464 also+0.21813031161473087 base+0.3519043122442556 between+0.14951211835064526 both+0.2514951211835065 data+0.35662574756059173 differ+0.18508026440037773 effect+0.22631413282971358 find+0.15958451369216242 first+0.22946175637393768 has+0.2514951211835065 have+0.277935158954989 high+0.7793515895498898 it+0.23135033050047216 larg+0.6266918476550205 method+0.39848914069877245 more+0.1904312244255587 observ+0.19263456090651557 one+0.3437204910292729 paper+0.3087818696883853 perform+0.5498898331759522 present+0.26282656594271325 propos+0.3405728674850488 provid+0.6783128737802959 studi+0.24582939880390306 system+0.2045955303745672 than+0.11268492288322317 time+0.249606547056972 two+0.11488825936418004 where+0.21813031161473087 
CLASS4:all+0.7701005025125628 also+0.15201005025125627 base+0.2198492462311558 between+0.22738693467336685 both+0.15389447236180903 data+0.0935929648241206 differ+0.41331658291457285 effect+0.1300251256281407 find+0.19535175879396985 first+0.25816582914572866 has+0.1457286432160804 have+0.13442211055276382 high+0.14824120603015076 it+0.24560301507537688 larg+0.08040201005025126 method+0.41896984924623115 more+0.14321608040201006 observ+0.12185929648241206 one+0.2079145728643216 paper+0.21545226130653267 perform+0.09108040201005026 present+0.2399497487437186 propos+0.23304020100502512 provid+0.18404522613065327 studi+0.13756281407035176 system+0.11746231155778894 than+0.13881909547738694 time+0.8109296482412061 two+0.5961055276381909 where+0.2562814070351759 
CLASS5:all+0.20586576424139877 also+0.2089678510998308 base+0.19063733784545966 between+0.6920473773265652 both+0.16046249294980258 data+0.12069937958262832 differ+0.48815566835871405 effect+0.6669486745628878 find+0.30344049633389736 first+0.19148336153412296 has+0.17230682459108856 have+0.45741680767061477 high+0.3056965595036661 it+0.4464184997179921 larg+0.5360970107163 method+0.09419063733784545 more+0.15087422447828538 observ+0.29723632261703326 one+0.18386914833615342 paper+0.07642413987591652 perform+0.1322617033276932 present+0.3883248730964467 propos+0.09813874788494077 provid+0.17399887196841513 studi+0.6601804850535815 system+0.19063733784545966 than+0.179639029892837 time+0.19063733784545966 two+0.2320924985899605 where+0.17653694303440495 
CLASS6:all+0.2089594158123859 also+0.6004774610307541 base+0.7490520994242381 between+0.47900575761831204 both+0.25080747086083416 data+0.3128774048588681 differ+0.29771099564667886 effect+0.23283246735009128 find+0.1179609605392501 first+0.2749613818283949 has+0.5461311613537424 have+0.31793287459626457 high+0.2134531666900716 it+0.29574497963769136 larg+0.1470299115292796 method+0.3524785844684735 more+0.2795955624210083 observ+0.1147310770959135 one+0.5040022468754388 paper+0.38786687263024855 perform+0.48363993821092544 present+0.20853812666760285 propos+0.5325094790057576 provid+0.5702850723213032 studi+0.17371155736553856 system+0.19800589804802696 than+0.2003932032017975 time+0.2326920376351636 two+0.49936806628282543 where+0.19814632776295465 
CLASS0:all+0.20446635730858467 also+0.6461716937354989 base+0.15081206496519722 between+0.1740139211136891 both+0.1554524361948956 data+0.1316705336426914 differ+0.27494199535962877 effect+0.40574245939675174 find+0.15458236658932714 first+0.20591647331786542 has+0.5327726218097448 have+0.20127610208816704 high+0.15661252900232017 it+0.5739559164733179 larg+0.1531322505800464 method+0.13486078886310904 more+0.36832946635730857 observ+0.35237819025522044 one+0.20011600928074247 paper+0.1740139211136891 perform+0.07888631090487239 present+0.4013921113689095 propos+0.12993039443155452 provid+0.5139211136890951 studi+0.22534802784222738 system+0.5092807424593968 than+0.20649651972157773 time+0.3248259860788863 two+0.14066125290023201 where+0.486368909512761 
CLASS1:all+0.4429494789605593 also+0.544651101437805 base+0.37765466297322253 between+0.17781295343622214 both+0.19614826540034297 data+0.5413533834586466 differ+0.3800290199182166 effect+0.23862287297190343 find+0.16185199841709538 first+0.2763487666534758 has+0.24086532119773116 have+0.5683946708877456 high+0.2942883524600976 it+0.22780635800026383 larg+0.5281625115420129 method+0.2730510486743174 more+0.3867563645956998 observ+0.28545046827595305 one+0.24561403508771928 paper+0.26685133887349954 perform+0.4974277799762564 present+0.24469067405355494 propos+0.3802928373565493 provid+0.21791320406278855 studi+0.2169898430286242 system+0.4265927977839335 than+0.5284263289803456 time+0.6632370399683419 two+0.28518665083762035 where+0.2491755705052104 
CLASS2:all+0.36962750716332377 also+0.38265173222193277 base+0.140140661630633 between+0.1836415733263871 both+0.4178171398801771 data+0.08856473039854129 differ+0.17113831727012244 effect+0.14066163063297735 find+0.1609794217244074 first+0.3383693670226621 has+0.29252409481635844 have+0.3151862464183381 high+0.0989841104454285 it+0.26439176868976294 larg+0.1437874446470435 method+0.14691325866110966 more+0.20760614743422767 observ+0.0870018233915082 one+0.6697056525136754 paper+0.4980463662412086 perform+0.08257358687158114 present+0.17999479030997656 propos+0.15915603021620214 provid+0.1781713988017713 studi+0.5600416775201875 system+0.15108101067986454 than+0.1836415733263871 time+0.30164105235738475 two+0.5191456108361553 where+0.8293826517322219 
