CLASS8:all+0.19577995478522983 also+0.2607385079125848 base+0.4718914845516202 between+0.24732479276563676 both+0.22215523737754334 data+0.252147701582517 differ+0.18824415975885456 effect+0.2629992464204974 find+0.5398643556895253 first+0.20482290881688017 has+0.23285606631499622 have+0.5403165033911078 high+0.6628485305199698 it+0.24461190655614168 larg+0.21537302185380558 method+0.15915599095704597 more+0.3889977392614921 observ+0.5784476262245667 one+0.4295403165033911 paper+0.13956292388847025 perform+0.14031650339110777 present+0.5362471740768651 propos+0.14498869630746045 provid+0.21145440844009042 studi+0.29932177844762625 system+0.36397889977392617 than+0.5896006028636022 time+0.30791258477769406 two+0.4007535795026375 where+0.19517709118311982 
CLASS9:all+0.18908281998631074 also+0.19216290212183437 base+0.6413415468856948 between+0.445242984257358 both+0.2335728952772074 data+0.2705338809034908 differ+0.27532511978097196 effect+0.2618069815195072 find+0.14493497604380562 first+0.6836071184120466 has+0.17214236824093088 have+0.20773442847364817 high+0.2488021902806297 it+0.23100616016427106 larg+0.20824777549623547 method+0.5607460643394935 more+0.22758384668035592 observ+0.1339835728952772 one+0.4243668720054757 paper+0.2469199178644764 perform+0.2778918548939083 present+0.2809719370294319 propos+0.4392539356605065 provid+0.24127310061601642 studi+0.5465434633812457 system+0.6584531143052703 than+0.14476386036960986 time+0.3323066392881588 two+0.5696440793976728 where+0.21919917864476385 
CLASS3:all+0.5416053019145802 also+0.22385861561119294 base+0.3159057437407953 between+0.14911634756995581 both+0.23232695139911635 data+0.3022827687776141 differ+0.16089837997054493 effect+0.20544918998527245 find+0.16237113402061856 first+0.23969072164948454 has+0.23085419734904272 have+0.25810014727540503 high+0.7286450662739322 it+0.22754050073637702 larg+0.6288659793814433 method+0.32069219440353464 more+0.20471281296023564 observ+0.18114874815905743 one+0.4263622974963181 paper+0.2860824742268041 perform+0.5438144329896907 present+0.22827687776141384 propos+0.32658321060382917 provid+0.666421207658321 studi+0.24042709867452136 system+0.18888070692194403 than+0.12849779086892488 time+0.2511045655375552 two+0.10198821796759941 where+0.22017673048600883 
CLASS4:all+0.7179161372299873 also+0.14358322744599747 base+0.25412960609911056 between+0.16836086404066072 both+0.1340533672172808 data+0.10101651842439645 differ+0.49174078780177893 effect+0.16200762388818296 find+0.1588310038119441 first+0.2636594663278272 has+0.14612452350698857 have+0.1315120711562897 high+0.18297331639135958 it+0.22299872935196952 larg+0.08513341804320203 method+0.5196950444726811 more+0.15438373570520966 observ+0.10038119440914867 one+0.19567979669631513 paper+0.2020330368487929 perform+0.12833545108005082 present+0.23062261753494281 propos+0.29415501905972047 provid+0.19758576874205844 studi+0.144853875476493 system+0.1156289707750953 than+0.13595933926302414 time+0.7719186785260482 two+0.5851334180432021 where+0.2445997458703939 
CLASS5:all+0.19307314551563712 also+0.2054794520547945 base+0.2269320237787542 between+0.648746446110106 both+0.17058671491341432 data+0.1506849315068493 differ+0.4825536314293099 effect+0.622899974153528 find+0.2706125613853709 first+0.2132333936417679 has+0.17859912121995347 have+0.521064874644611 high+0.30679762212458 it+0.48074437839234946 larg+0.5321788575859395 method+0.13026621866115276 more+0.16645127940036186 observ+0.2455414835874903 one+0.17911605065908504 paper+0.10312742310674593 perform+0.154561902300336 present+0.4450762470922719 propos+0.1421555957611786 provid+0.17239596795037476 studi+0.6471956577927113 system+0.1659343499612303 than+0.17911605065908504 time+0.20367019901783406 two+0.2047040578960972 where+0.17291289738950633 
CLASS6:all+0.2114818449460255 also+0.6079489695780177 base+0.7149165848871443 between+0.5199542034674518 both+0.23094537127903172 data+0.27739614000654234 differ+0.25188092901537457 effect+0.20526660124304874 find+0.12479555119398103 first+0.2868825646058227 has+0.5546287209682695 have+0.2746156362446843 high+0.21033693163231926 it+0.27134445534838075 larg+0.14998364409551848 method+0.2957147530258423 more+0.2536800785083415 observ+0.10794896957801767 one+0.5338567222767419 paper+0.32924435721295386 perform+0.48773307163886165 present+0.18400392541707555 propos+0.4576382073928688 provid+0.592737978410206 studi+0.18269545305855414 system+0.19463526333006215 than+0.18613019299967287 time+0.23781485116126921 two+0.5197906444226366 where+0.2055937193326791 
CLASS7:all+0.2012977099236641 also+0.5270229007633588 base+0.2957251908396947 between+0.5023664122137405 both+0.4716030534351145 data+0.4804580152671756 differ+0.48877862595419846 effect+0.2883206106870229 find+0.4583206106870229 first+0.2819847328244275 has+0.5045801526717557 have+0.5256488549618321 high+0.29442748091603055 it+0.23793893129770993 larg+0.21458015267175573 method+0.3965648854961832 more+0.28381679389312975 observ+0.41946564885496185 one+0.23282442748091603 paper+0.34083969465648856 perform+0.23984732824427482 present+0.26129770992366413 propos+0.2767175572519084 provid+0.28122137404580155 studi+0.5670992366412214 system+0.17259541984732824 than+0.22824427480916032 time+0.4951145038167939 two+0.40526717557251907 where+0.21450381679389313 
CLASS0:all+0.19523809523809524 also+0.5991718426501035 base+0.20910973084886128 between+0.18840579710144928 both+0.1761904761904762 data+0.1772256728778468 differ+0.33064182194616976 effect+0.45279503105590063 find+0.15942028985507245 first+0.23126293995859212 has+0.510351966873706 have+0.21884057971014492 high+0.205175983436853 it+0.5360248447204969 larg+0.16770186335403728 method+0.16977225672877846 more+0.4380952380952381 observ+0.362111801242236 one+0.20227743271221532 paper+0.20062111801242236 perform+0.13126293995859215 present+0.4339544513457557 propos+0.17991718426501035 provid+0.517184265010352 studi+0.24699792960662525 system+0.48757763975155277 than+0.2289855072463768 time+0.31180124223602484 two+0.14906832298136646 where+0.4863354037267081 
CLASS1:all+0.46721628236506507 also+0.5415432178281592 base+0.346386706170295 between+0.19245137189230968 both+0.19554296019580059 data+0.5259564601313925 differ+0.40164884709519516 effect+0.2313538580445704 find+0.1659152389540126 first+0.28764652840396754 has+0.21718407832023703 have+0.5432178281592168 high+0.2962772124178797 it+0.218214607754734 larg+0.5285327837176349 method+0.23921164498260983 more+0.3458714414530465 observ+0.33157284554940103 one+0.23277083601700374 paper+0.22684529176864615 perform+0.49632873888960455 present+0.22787582120314312 propos+0.35205461806002836 provid+0.222465541672034 studi+0.22877753445832796 system+0.444931083344068 than+0.5141053716346773 time+0.6314569109880201 two+0.3429086693288677 where+0.23457426252737343 
CLASS2:all+0.3098974049487025 also+0.31472540736270366 base+0.18135184067592033 between+0.14544357272178637 both+0.508147254073627 data+0.11013880506940253 differ+0.16173808086904043 effect+0.17048883524441763 find+0.1324683162341581 first+0.3123114061557031 has+0.23083886541943271 have+0.26735063367531686 high+0.12100181050090525 it+0.24894387447193725 larg+0.1451418225709113 method+0.2510561255280628 more+0.20579360289680146 observ+0.08056729028364513 one+0.6554013277006638 paper+0.544357272178636 perform+0.12341581170790586 present+0.17169583584791792 propos+0.23657211828605915 provid+0.1855763427881714 studi+0.5684972842486421 system+0.14393482196741098 than+0.18346409173204586 time+0.2667471333735667 two+0.5244417622208811 where+0.7854556427278213 
