Airport Code	PageRank
GKA	0.00017421602787456446
MAG	0.00017421602787456446
HGU	0.00017421602787456446
LAE	0.00017421602787456446
POM	0.00017421602787456446
WWK	0.00017421602787456446
UAK	0.00017421602787456446
GOH	0.00017421602787456446
SFJ	0.00017421602787456446
THU	0.00017421602787456446
AEY	0.00017421602787456446
EGS	0.00017421602787456446
HFN	0.00017421602787456446
HZK	0.00017421602787456446
IFJ	0.00017421602787456446
KEF	0.00017421602787456446
PFJ	0.00017421602787456446
RKV	0.00017421602787456446
SIJ	0.00017421602787456446
VEY	0.00017421602787456446
YAM	0.00017421602787456446
YAV	0.00017421602787456446
YAW	0.00017421602787456446
YAY	0.00017421602787456446
YAZ	0.00017421602787456446
YBB	0.00017421602787456446
YBC	0.00017421602787456446
YBG	0.00017421602787456446
YBK	0.00017421602787456446
YBL	0.00017421602787456446
YBR	0.00017421602787456446
YCB	0.00017421602787456446
YCD	0.00017421602787456446
YCG	0.00017421602787456446
YCH	0.00017421602787456446
YCL	0.00017421602787456446
YCO	0.00017421602787456446
YCT	0.00017421602787456446
YCW	0.00017421602787456446
YCY	0.00017421602787456446
YZS	0.00017421602787456446
YDA	0.00017421602787456446
YDB	0.00017421602787456446
YDC	0.00017421602787456446
YDF	0.00017421602787456446
YDL	0.00017421602787456446
YDN	0.00017421602787456446
YDQ	0.00017421602787456446
YEG	0.00017421602787456446
YEK	0.00017421602787456446
YEN	0.00017421602787456446
YET	0.00017421602787456446
YEU	0.00017421602787456446
YEV	0.00017421602787456446
YFB	0.00017421602787456446
YFC	0.00017421602787456446
YFO	0.00017421602787456446
YFR	0.00017421602787456446
YFS	0.00017421602787456446
YGK	0.00017421602787456446
YGL	0.00017421602787456446
YGP	0.00017421602787456446
YGQ	0.00017421602787456446
YGR	0.00017421602787456446
YHB	0.00017421602787456446
YHD	0.00017421602787456446
YHI	0.00017421602787456446
YHK	0.00017421602787456446
YHM	0.00017421602787456446
YHU	0.00017421602787456446
YHY	0.00017421602787456446
YHZ	0.00017421602787456446
YIB	0.00017421602787456446
YIO	0.00017421602787456446
YJN	0.00017421602787456446
YJT	0.00017421602787456446
YKA	0.00017421602787456446
YKF	0.00017421602787456446
YKL	0.00017421602787456446
YKY	0.00017421602787456446
YKZ	0.00017421602787456446
YLD	0.00017421602787456446
YLJ	0.00017421602787456446
YLL	0.00017421602787456446
YLT	0.00017421602787456446
YLW	0.00017421602787456446
YMA	0.00017421602787456446
YMJ	0.00017421602787456446
YMM	0.00017421602787456446
YMO	0.00017421602787456446
YMW	0.00017421602787456446
YMX	0.00017421602787456446
YNA	0.00017421602787456446
YND	0.00017421602787456446
YNM	0.00017421602787456446
YOC	0.00017421602787456446
YOD	0.00017421602787456446
YOJ	0.00017421602787456446
YOW	0.00017421602787456446
YPA	0.00017421602787456446
YPE	0.00017421602787456446
YPG	0.00017421602787456446
YPL	0.00017421602787456446
YPN	0.00017421602787456446
YPQ	0.00017421602787456446
YPR	0.00017421602787456446
YPY	0.00017421602787456446
YQA	0.00017421602787456446
YQB	0.00017421602787456446
YQF	0.00017421602787456446
YQG	0.00017421602787456446
YQH	0.00017421602787456446
YQK	0.00017421602787456446
YQL	0.00017421602787456446
YQM	0.00017421602787456446
YQQ	0.00017421602787456446
YQR	0.00017421602787456446
YQT	0.00017421602787456446
YQU	0.00017421602787456446
YQV	0.00017421602787456446
YQW	0.00017421602787456446
YQX	0.00017421602787456446
YQY	0.00017421602787456446
YQZ	0.00017421602787456446
YRB	0.00017421602787456446
YRI	0.00017421602787456446
YRJ	0.00017421602787456446
YRM	0.00017421602787456446
YRT	0.00017421602787456446
YSB	0.00017421602787456446
YSC	0.00017421602787456446
YSJ	0.00017421602787456446
YSM	0.00017421602787456446
YSR	0.00017421602787456446
YSU	0.00017421602787456446
YSY	0.00017421602787456446
YTE	0.00017421602787456446
YTH	0.00017421602787456446
YTR	0.00017421602787456446
YTS	0.00017421602787456446
YTZ	0.00017421602787456446
YUB	0.00017421602787456446
YUL	0.00017421602787456446
YUT	0.00017421602787456446
YUX	0.00017421602787456446
YUY	0.00017421602787456446
YVC	0.00017421602787456446
YVG	0.00017421602787456446
YVM	0.00017421602787456446
YVO	0.00017421602787456446
YVP	0.00017421602787456446
YVQ	0.00017421602787456446
YVR	0.00017421602787456446
YVT	0.00017421602787456446
YVV	0.00017421602787456446
YWA	0.00017421602787456446
YWG	0.00017421602787456446
YWK	0.00017421602787456446
YWL	0.00017421602787456446
YWY	0.00017421602787456446
YXC	0.00017421602787456446
YXD	0.00017421602787456446
YXE	0.00017421602787456446
YXH	0.00017421602787456446
YXJ	0.00017421602787456446
YXL	0.00017421602787456446
YXP	0.00017421602787456446
YXR	0.00017421602787456446
YXS	0.00017421602787456446
YXT	0.00017421602787456446
YXU	0.00017421602787456446
YXX	0.00017421602787456446
YXY	0.00017421602787456446
YYB	0.00017421602787456446
YYC	0.00017421602787456446
YYD	0.00017421602787456446
YYE	0.00017421602787456446
YYF	0.00017421602787456446
YYG	0.00017421602787456446
YYH	0.00017421602787456446
YYJ	0.00017421602787456446
YYL	0.00017421602787456446
YYN	0.00017421602787456446
YYQ	0.00017421602787456446
YYR	0.00017421602787456446
YYT	0.00017421602787456446
YYU	0.00017421602787456446
YYW	0.00017421602787456446
YYY	0.00017421602787456446
YYZ	0.00017421602787456446
YZD	0.00017421602787456446
YZE	0.00017421602787456446
YZF	0.00017421602787456446
YZH	0.00017421602787456446
YZP	0.00017421602787456446
YZR	0.00017421602787456446
YZT	0.00017421602787456446
