Airport Code	PageRank
LAX	0.006200816506903411
ORD	0.0061849063662435455
DEN	0.005958635059190664
LHR	0.005055988587234057
CDG	0.004883194440464492
PEK	0.0048225191483683184
FRA	0.004764148554236759
SIN	0.004676549368048339
ATL	0.00466660599399309
JFK	0.0044069342965447796
AMS	0.004371095221676323
DFW	0.004121374560934695
SYD	0.004028671892035429
ICN	0.003964648553105759
YYZ	0.003918887070325846
DXB	0.0038963850311951073
DME	0.0038475969796833267
BCN	0.0038052897452556206
PVG	0.003803855525890041
HKG	0.003600667173811384
IST	0.00359100213520371
FCO	0.0033907661865731505
LGW	0.0033170165339051092
MUC	0.0033157932356954827
BKK	0.003285925490564336
MIA	0.0032356547021685856
MAD	0.003181457498800793
SFO	0.003178283972498052
VIE	0.0031085003729829563
NRT	0.0030804248195754795
KUL	0.0030441719733142135
IAH	0.003040647491695614
MEX	0.003033225416423916
SEA	0.0029990496380848733
CLT	0.0029750912937868213
DEL	0.0029599241576990227
CAN	0.0029236228863195753
BNE	0.002922516962038516
BOG	0.0029132781342956484
LED	0.002891134292577112
MSP	0.002879979106515009
LAS	0.002830469278562941
MAN	0.002826503966903715
DUS	0.0027743752771153857
MNL	0.0027650837328970904
PMI	0.0027609975566950645
BRU	0.0027268255091885624
EWR	0.0027085802434598082
GRU	0.0026798534582305254
CTU	0.002630732949596619
KMG	0.00255228438723428
BOM	0.002547723119016131
TPE	0.002527072426958134
MCO	0.002518044026622235
ZRH	0.002509139569655945
CPH	0.0025021984536287927
DTW	0.0024944815762564386
AUH	0.002486348422284415
YVR	0.0024513530630565434
IAD	0.0024462350457921823
PHL	0.0024423891956552174
CGK	0.0024330245926428903
PHX	0.002426157926871634
JNB	0.0023996266969130687
MEL	0.0023555009965285758
BOS	0.002338653096481935
SVO	0.002307579507819027
AEP	0.002302313686344886
XIY	0.0022986649627686176
YUL	0.0022756112483965137
FLL	0.0022167297866599648
OSL	0.002205705531809148
ANC	0.0022041313772072574
AKL	0.002194754949240402
ORY	0.0021650252203317126
ARN	0.0021294256207388274
MXP	0.0021286722589797837
HND	0.0021002776029347627
CKG	0.0020952557138452107
LIM	0.0020741233314539058
LIS	0.0020140123296744305
HGH	0.0019990778428268037
BET	0.0019422464848962955
JED	0.0019419778687622391
HEL	0.0019375625932494872
SZX	0.0019184371496597723
DUB	0.001905012719073845
TXL	0.0018964834385758259
BSB	0.0018500294945617065
ATH	0.0018430176837645048
NBO	0.0018037688326794186
HNL	0.0017905606575402992
CAI	0.0017818997544068642
XMN	0.001747834563254069
SHA	0.0017472196767007856
AGP	0.0017420708393308974
DOH	0.001719333202797537
RUH	0.0016973516001314358
SLC	0.0016643808901238295
CUN	0.0016464557237410317
ADD	0.0016298995326693123
URC	0.0016157789421747638
PDX	0.0016155082526455636
BWI	0.0016092913280223965
PER	0.001599229333138994
CSX	0.0015986664402308896
THR	0.0015984965364592226
TAO	0.0015941375661267553
LGA	0.0015811757475458815
MDW	0.0015766835942668616
STN	0.0015662012109671243
WUH	0.0015654161612376019
KIX	0.0015545495934973905
GVA	0.0015513887751702987
YYC	0.0015315807663788092
NKG	0.001525984117273327
PRG	0.001523614137487253
GIG	0.0015218752050791648
POM	0.0015205266593929087
IBZ	0.001508773863971358
TPA	0.0014804352827976854
DCA	0.0014766547091909037
BHX	0.0014693434527155457
ALC	0.0014662244039722948
SCL	0.0014633499631801611
PPT	0.001462344092299626
STL	0.0014581688765361734
SAW	0.0014466897348592487
VCE	0.0014401854919534444
STR	0.0014119880080293462
NCE	0.0014012073337344609
HAM	0.0013904628934294475
PTY	0.0013578932054295763
LPA	0.001357052880803012
HIR	0.0013559929383773078
CCS	0.00133978961290148
LYS	0.001336860062676261
SAN	0.0013229106525001408
FAI	0.0013222390515475716
WAW	0.0013215704940796181
EDI	0.0013019315075319595
CCU	0.0012928127878689979
