Airport Code	PageRank
DEN	0.005155117444221825
ORD	0.005043632486841925
LAX	0.004989796912089303
ATL	0.003928710641864008
SYD	0.003774400828222693
LHR	0.0037591026091556615
SIN	0.0037480967476081636
PEK	0.003722044996900614
CDG	0.0036602602083916974
DFW	0.0036053593896107003
FRA	0.003565052454868158
DME	0.0035440624794756902
JFK	0.0033327351489249707
AMS	0.0033069751638484875
YYZ	0.0031469222269734994
DXB	0.0031126933138647776
ICN	0.0030759914707696474
IST	0.00299362026881297
BOG	0.002981538581524822
PVG	0.002890789024504504
BCN	0.002833573390177159
MEX	0.002782060857188342
HKG	0.0027266796045002113
BNE	0.0027097945240915655
BKK	0.002675214350460845
MIA	0.002633978735385876
MNL	0.002595109098170938
MSP	0.002578448998606833
IAH	0.0025667275211505953
DEL	0.002560578265391429
CLT	0.0025318868005492867
AEP	0.0025225415624113394
FCO	0.0025177515577757027
SFO	0.002511921496217684
KUL	0.0025089861287331235
SEA	0.002481496925471488
LGW	0.0024631101295466465
LED	0.0024534875508299453
MAD	0.0024187104656007365
MUC	0.0024086186394053043
JNB	0.002364676913976057
NRT	0.0023508675446989877
VIE	0.0023118538123557703
LAS	0.002242784203059986
GRU	0.002237141778343679
CAN	0.0022319639383112234
YVR	0.00223066577301445
BOM	0.0021952035744211198
CGK	0.002133998523456816
HND	0.0021217205381091394
ANC	0.002103223863351158
AKL	0.002088902011249059
PMI	0.002079433741468699
MEL	0.0020791422024323686
DTW	0.0020712765335643415
MAN	0.002064769507389195
EWR	0.00206144048230009
BRU	0.002059933694139746
KMG	0.0020237872715957255
CTU	0.0020115404872455525
IAD	0.0020111438219974974
DUS	0.002001961409414619
LIM	0.001957967641600361
PHL	0.0019517690685584056
MCO	0.0019501856920431347
PHX	0.0019315135702369774
AUH	0.0019260144867492897
CPH	0.0019213449817873027
BOS	0.0019144989493484219
YUL	0.0019062283951981256
TPE	0.0018960203428644024
OSL	0.001891235931685992
SVO	0.001882355925765285
BET	0.0018654437191256985
ORY	0.0018407084668662758
ZRH	0.0018407005668267418
ARN	0.0018370399449010716
FLL	0.0018164146647954515
HEL	0.001752261039759456
XIY	0.001720100622183126
JED	0.0017150047153536077
BSB	0.0016607485748246751
THR	0.0016581536705538784
NBO	0.0016356948571940803
LIS	0.0015688416477790655
ATH	0.0015682981426041439
PPT	0.0015617808689984693
MXP	0.001551989143956082
ADD	0.0015389168145439286
CKG	0.0015256144300037063
RUH	0.0015156899207477536
POM	0.001509653786275088
HNL	0.0015069167508162849
PER	0.001496696831440469
SLC	0.00149084269184221
CAI	0.0014884421817010544
HIR	0.0014338049546856618
HGH	0.001417548661886905
DUB	0.0014118805896349053
URC	0.0014028940779524772
SZX	0.0013982455343287544
FAI	0.0013889140786636132
TXL	0.001366970433781165
YYC	0.0013439442649413557
DOH	0.0013434506085346434
SCL	0.0013431823838997686
CUN	0.0013279656926674128
SHA	0.0013087105020323762
DMK	0.0013073181748671117
PDX	0.0013062036681750694
CCS	0.0013007755142165859
VCP	0.0012952054514539665
STL	0.0012712932346207089
SAW	0.0012702669132607103
AGP	0.00126535508636214
GIG	0.0012557036970014535
XMN	0.001255617048555066
MDW	0.0012456900848279381
LGA	0.0012344102802949936
BWI	0.0012185622060973495
STN	0.0012182182767932865
KIX	0.0012158901582855538
JNU	0.0012095959721347216
DCA	0.0011782234982052786
CCU	0.001169783859755586
TAO	0.0011542863230058966
PTY	0.0011466908131858794
CNS	0.0011409336915250946
SGN	0.0011376228629528782
WUH	0.0011376204550326166
ALG	0.0011349564151889942
CSX	0.0011340847656175507
TPA	0.0011333087609181579
ALC	0.0011324021959067795
GVA	0.0011188213535392453
VLI	0.001116582408343255
PRG	0.001105536193495021
BHX	0.0010985202067622212
DPS	0.0010975260507676788
NCE	0.0010971945896072796
NKG	0.0010896769431764247
IBZ	0.0010819782300829596
SJO	0.0010761807353595375
MAO	0.0010708083487769686
MHD	0.0010663609372772984
YXL	0.0010612156001957834
VCE	0.0010511893309578958
NAN	0.001047644400719941
UPG	0.0010470982956152877
VKO	0.0010456972405206333
LYS	0.0010441768765452422
SSA	0.0010375657718832102
YEG	0.0010288296166800915
LPA	0.0010288076672152631
GLA	0.0010229072178128422
STR	0.0010195522591303066
CMN	0.001017976091294631
SAN	0.0010145431525117757
MRS	0.0010102094886507446
EDI	0.0009983922344369545
ADL	0.0009906468046528007
HAM	0.00098979386289403
BLR	0.0009697539731345992
WAW	0.0009666120757781789
